"","Taxon","wood.density","source"
"2076","Pseudoweinmannia lachnocarpa",0.749,"AUSTRAITS_dataset_34"
"224","Psychotria loniceroides",0.69,"AUSTRAITS_dataset_39"
"377","Psydrax odorata",0.78,"AUSTRAITS_dataset_49"
"2086","Psydrax odorata",0.87,"AUSTRAITS_dataset_34"
"689","Rhodamnia argentea",0.7181,"AUSTRAITS_dataset_49"
"2090","Rhodamnia argentea",0.679,"AUSTRAITS_dataset_34"
"2091","Rhodamnia argentea",0.719,"AUSTRAITS_dataset_34"
"433","Rhodamnia rubescens",0.6622,"AUSTRAITS_dataset_49"
"2095","Rhodamnia rubescens",0.599,"AUSTRAITS_dataset_34"
"2096","Rhodamnia rubescens",0.663,"AUSTRAITS_dataset_34"
"895","Rhodomyrtus psidioides",0.7783,"AUSTRAITS_dataset_49"
"2103","Rhodosphaera rhodanthema",0.594,"AUSTRAITS_dataset_34"
"2104","Rhodosphaera rhodanthema",0.585,"AUSTRAITS_dataset_34"
"2260","Rubus moluccanus",0.575187964,"Lawson_field_work"
"351","Sarcopteryx stipata",0.8385,"AUSTRAITS_dataset_49"
"2119","Sarcopteryx stipata",0.839,"AUSTRAITS_dataset_34"
"1148","Schefflera actinophylla",0.4,"AUSTRAITS_dataset_49"
"2121","Schefflera actinophylla",0.413,"AUSTRAITS_dataset_34"
"1124","Sloanea australis",0.516,"AUSTRAITS_dataset_49"
"2128","Sloanea australis",0.473,"AUSTRAITS_dataset_34"
"2129","Sloanea australis",0.538,"AUSTRAITS_dataset_34"
"929","Sloanea woollsii",0.5332,"AUSTRAITS_dataset_49"
"2132","Sloanea woollsii",0.513,"AUSTRAITS_dataset_34"
"2133","Sloanea woollsii",0.525,"AUSTRAITS_dataset_34"
"2261","Smilax australis",0.496343742,"Lawson_field_work"
"1147","Sterculia quadrifida",0.309,"AUSTRAITS_dataset_49"
"2152","Sterculia quadrifida",0.303,"AUSTRAITS_dataset_34"
"2153","Sterculia quadrifida",0.4,"AUSTRAITS_dataset_34"
"2154","Sterculia quadrifida",0.276,"AUSTRAITS_dataset_34"
"434","Streblus brunonianus",0.65,"AUSTRAITS_dataset_49"
"2156","Streblus brunonianus",0.68,"AUSTRAITS_dataset_34"
"2157","Streblus brunonianus",0.693,"AUSTRAITS_dataset_34"
"2158","Streblus brunonianus",0.702,"AUSTRAITS_dataset_34"
"214","Synoum glandulosum",0.512,"AUSTRAITS_dataset_20"
"347","Synoum glandulosum",0.53,"AUSTRAITS_dataset_28"
"465","Synoum glandulosum",0.513,"AUSTRAITS_dataset_49"
