"","Taxon","leaf.area","source"
"562","Dioscorea transversa",20.78,"Gallagher_field_workPHD"
"715","Dioscorea transversa",26.03,"AUSTRAITS_dataset_68"
"774","Dioscorea transversa",28.33,"AUSTRAITS_dataset_68"
"848","Dioscorea transversa",32.13,"AUSTRAITS_dataset_68"
"1013","Dioscorea transversa",44.1,"AUSTRAITS_dataset_49"
"46","Diospyros australis",14.249,"AUSTRAITS_dataset_52"
"59","Diospyros australis",19.699,"AUSTRAITS_dataset_52"
"63","Diospyros australis",11.27,"AUSTRAITS_dataset_10"
"89","Diospyros australis",19.28,"AUSTRAITS_dataset_52"
"129","Diospyros australis",22.313,"AUSTRAITS_dataset_52"
"325","Diospyros australis",12.513,"AUSTRAITS_dataset_49"
"365","Diospyros australis",14.25,"AUSTRAITS_dataset_68"
"380","Diospyros australis",0.26,"AUSTRAITS_dataset_3"
"389","Diospyros australis",15.48,"AUSTRAITS_dataset_68"
"533","Diospyros australis",19.92,"Gallagher_field_workPHD"
"580","Diospyros australis",21.15,"Gallagher_field_workPHD"
"603","Diospyros australis",22.31,"AUSTRAITS_dataset_68"
"638","Diospyros australis",23.74,"Gallagher_field_workPHD"
"723","Diospyros fasciculosa",26.25,"AUSTRAITS_dataset_68"
"753","Diospyros fasciculosa",27.563,"AUSTRAITS_dataset_49"
"419","Diospyros geminata",16.538,"AUSTRAITS_dataset_49"
"277","Diospyros pentamera",10.5,"AUSTRAITS_dataset_68"
"335","Diospyros pentamera",12.82,"Gallagher_field_workPHD"
"355","Diospyros pentamera",13.85,"Gallagher_field_workPHD"
"376","Diospyros pentamera",14.7,"AUSTRAITS_dataset_49"
"417","Diospyros pentamera",16.5,"Gallagher_field_workPHD"
"567","Diospyros pentamera",20.88,"Gallagher_field_workPHD"
"1125","Diploglottis australis",86,"AUSTRAITS_dataset_68"
"1131","Diploglottis australis",90.3,"AUSTRAITS_dataset_49"
"1133","Diploglottis australis",95.469,"AUSTRAITS_dataset_68"
"734","Dissiliaria baloghioides",26.775,"AUSTRAITS_dataset_49"
"612","drypetes deplanchei",22.82,"AUSTRAITS_dataset_29"
"341","Drypetes deplanchei",13,"AUSTRAITS_dataset_68"
"431","Drypetes deplanchei",17.01,"Gallagher_field_workPHD"
"482","Drypetes deplanchei",18.802,"AUSTRAITS_dataset_49"
"544","Drypetes deplanchei",20.28,"Gallagher_field_workPHD"
"614","Drypetes deplanchei",22.86,"Gallagher_field_workPHD"
"664","Drypetes deplanchei",24.75,"Gallagher_field_workPHD"
"789","Dysoxylum rufum",29,"AUSTRAITS_dataset_68"
"916","Dysoxylum rufum",35.525,"AUSTRAITS_dataset_49"
"1043","Dysoxylum rufum",47.77,"Gallagher_field_workPHD"
"592","Elaeagnus triflora",22.05,"AUSTRAITS_dataset_49"
"743","Elaeagnus triflora",26.98,"AUSTRAITS_dataset_68"
"606","Elaeocarpus grandis",22.5,"AUSTRAITS_dataset_68"
"755","Elaeocarpus grandis",27.62,"AUSTRAITS_dataset_32"
"210","Elaeocarpus obovatus",8.9,"Gallagher_field_workPHD"
"322","Elaeocarpus obovatus",12.5,"AUSTRAITS_dataset_68"
"332","Elaeocarpus obovatus",12.77,"Gallagher_field_workPHD"
"345","Elaeocarpus obovatus",13.125,"AUSTRAITS_dataset_49"
"645","Elattostachys nervosa",24,"AUSTRAITS_dataset_68"
"688","Elattostachys nervosa",25.2,"AUSTRAITS_dataset_49"
"267","Elattostachys xylocarpa",10.083,"AUSTRAITS_dataset_68"
"288","Elattostachys xylocarpa",10.588,"AUSTRAITS_dataset_49"
"260","Embelia australiana",10.08,"AUSTRAITS_dataset_68"
"437","Embelia australiana",17.136,"AUSTRAITS_dataset_49"
"444","Embelia australiana",17.31,"AUSTRAITS_dataset_68"
"696","Embelia australiana",25.41,"AUSTRAITS_dataset_68"
"708","Embelia australiana",25.6,"AUSTRAITS_dataset_68"
"766","Embelia australiana",27.97,"AUSTRAITS_dataset_68"
"840","Embelia australiana",31.64,"Gallagher_field_workPHD"
"408","Endiandra discolor",16.33,"AUSTRAITS_dataset_68"
"461","Endiandra discolor",18.2,"AUSTRAITS_dataset_49"
"631","Endiandra discolor",23.37,"AUSTRAITS_dataset_39"
"721","Endiandra discolor",26.2,"Gallagher_field_workPHD"
"1017","Endiandra discolor",44.49,"Gallagher_field_workPHD"
"865","Endiandra globosa",33,"AUSTRAITS_dataset_68"
"994","Endiandra globosa",41.948,"AUSTRAITS_dataset_49"
"625","Endiandra pubens",23.33,"AUSTRAITS_dataset_68"
"662","Endiandra pubens",24.5,"AUSTRAITS_dataset_49"
"220","Endiandra sieberi",9.1,"AUSTRAITS_dataset_49"
"588","Endiandra sieberi",21.61,"Gallagher_field_workPHD"
