"","Taxon","SLA","source"
"1313","Endiandra discolor",10.5241001894338,"Gallagher_field_workPHD"
"1314","Endiandra sieberi",9.2695587690026,"Gallagher_field_workPHD"
"648","Eupomatia laurina",13.33,"AUSTRAITS_dataset_10"
"810","Eupomatia laurina",15.655,"AUSTRAITS_dataset_8"
"862","Eupomatia laurina",15.393,"AUSTRAITS_dataset_28"
"884","Eupomatia laurina",10.294,"AUSTRAITS_dataset_8"
"889","Eupomatia laurina",15.724,"AUSTRAITS_dataset_28"
"891","Eupomatia laurina",14.433,"AUSTRAITS_dataset_8"
"950","Eupomatia laurina",14.9,"AUSTRAITS_dataset_28"
"995","Eupomatia laurina",12.694,"AUSTRAITS_dataset_8"
"1110","Eupomatia laurina",14.3988480921526,"AUSTRAITS_dataset_39"
"1315","Eupomatia laurina",19.739439399921,"Gallagher_field_workPHD"
"1316","Eupomatia laurina",17.0648464163823,"Gallagher_field_workPHD"
"1317","Eupomatia laurina",15.6666144446185,"Gallagher_field_workPHD"
"1318","Eupomatia laurina",15.389350569406,"Gallagher_field_workPHD"
"1319","Eupomatia laurina",14.1643059490085,"Gallagher_field_workPHD"
"1320","Eupomatia laurina",5.64525234277972,"Gallagher_field_workPHD"
"1397","Eupomatia laurina",16.958,"AUSTRAITS_dataset_32"
"1418","Eupomatia laurina",17.591,"AUSTRAITS_dataset_52"
"976","Euroschinus falcatus",12.9954515919428,"AUSTRAITS_dataset_39"
"1322","Euroschinus falcatus",16.6306336271412,"Gallagher_field_workPHD"
"1323","Euroschinus falcatus",13.7532664007702,"Gallagher_field_workPHD"
"1324","Euroschinus falcatus",12.8832775057975,"Gallagher_field_workPHD"
"1325","Euroschinus falcatus",12.093360744951,"Gallagher_field_workPHD"
"697","Ficus coronata",15.422,"AUSTRAITS_dataset_8"
"711","Ficus coronata",15.496,"AUSTRAITS_dataset_28"
"929","Ficus coronata",15.645,"AUSTRAITS_dataset_8"
"991","Ficus coronata",16.555,"AUSTRAITS_dataset_28"
"1088","Ficus coronata",15.528,"AUSTRAITS_dataset_28"
"1326","Ficus coronata",22.6039783001808,"Gallagher_field_workPHD"
"1394","Ficus coronata",13.3364,"AUSTRAITS_dataset_32"
"2240","Ficus coronata",18.35258043,"Kyle_Hunter Plant Traits"
"824","Ficus fraseri",22.428,"AUSTRAITS_dataset_28"
"915","Ficus fraseri",9.902,"AUSTRAITS_dataset_28"
"968","Ficus fraseri",14.414,"AUSTRAITS_dataset_28"
"1065","Ficus fraseri",10.891,"AUSTRAITS_dataset_28"
"1327","Ficus fraseri",18.3823529411765,"Gallagher_field_workPHD"
"1328","Ficus obliqua",13.2100396301189,"Gallagher_field_workPHD"
"1072","Ficus opposita",8.27403607479729,"AUSTRAITS_dataset_39"
"366","Flagellaria indica",18.496,"AUSTRAITS_dataset_52"
"397","Flagellaria indica",14.522,"AUSTRAITS_dataset_52"
"1329","Flagellaria indica",26.5604249667995,"Gallagher_field_workPHD"
"1330","Flagellaria indica",22.4265530387979,"Gallagher_field_workPHD"
"1331","Flagellaria indica",21.7013888888889,"Gallagher_field_workPHD"
"1333","Flagellaria indica",18.2848784055586,"Gallagher_field_workPHD"
"1334","Flagellaria indica",12.2669283611384,"Gallagher_field_workPHD"
"1371","Flagellaria indica",1.6509,"Gallagher_field_workPHD"
"1358","Flindersia schottiana",9.53288846520496,"AUSTRAITS_dataset_32"
"38","Geitonoplesium cymosum",53.112,"AUSTRAITS_dataset_8"
"49","Geitonoplesium cymosum",40.14,"AUSTRAITS_dataset_10"
"217","Geitonoplesium cymosum",25.831,"AUSTRAITS_dataset_8"
"1335","Geitonoplesium cymosum",39.2003136025088,"Gallagher_field_workPHD"
"1336","Geitonoplesium cymosum",37.0096225018505,"Gallagher_field_workPHD"
"1337","Geitonoplesium cymosum",35.0262697022767,"Gallagher_field_workPHD"
"1338","Geitonoplesium cymosum",34.2114266164899,"Gallagher_field_workPHD"
"1339","Geitonoplesium cymosum",30.9405940594059,"Gallagher_field_workPHD"
"1340","Geitonoplesium cymosum",30.543677458766,"Gallagher_field_workPHD"
"1341","Geitonoplesium cymosum",24.443901246639,"Gallagher_field_workPHD"
"1342","Geitonoplesium cymosum",21.8102508178844,"Gallagher_field_workPHD"
"1380","Geitonoplesium cymosum",3.9471,"Gallagher_field_workPHD"
"2241","Geitonoplesium cymosum",15.97826443,"J_Lawson_FieldWork"
"287","Glochidion ferdinandi",11.87,"AUSTRAITS_dataset_10"
"464","Glochidion ferdinandi",11.869,"AUSTRAITS_dataset_52"
"1344","Glochidion ferdinandi",17.0328734457503,"Gallagher_field_workPHD"
"1345","Glochidion ferdinandi",15.3798831128883,"Gallagher_field_workPHD"
"1346","Glochidion ferdinandi",10.2564102564103,"Gallagher_field_workPHD"
"1396","Glochidion ferdinandi",14.894,"AUSTRAITS_dataset_32"
"1412","Glochidion ferdinandi",11.923,"AUSTRAITS_dataset_52"
"2242","Glochidion ferdinandi",12.84275212,"J_Lawson_FieldWork"
"1389","Grevillea robusta",9.779,"AUSTRAITS_dataset_32"
"2243","Grevillea robusta",5.02,"C.K. Ong, C.R. Black, J.S. Wallace,  A.A.H. Khan,  J.E. Lott, N.A. Jackson, S.B. Howard, D.M. Smith. 2000. Productivity, microclimate and water use in Grevillea robustaNAbased agroforesNA systems on hillslopes in semiNAarid Kenya. Agriculture, Ecosystems & Environment  80,  121–141"
"223","Guioa semiglauca",10.72,"AUSTRAITS_dataset_10"
"1347","Guioa semiglauca",15.8478605388273,"Gallagher_field_workPHD"
"1348","Guioa semiglauca",14.0272127928181,"Gallagher_field_workPHD"
"1349","Guioa semiglauca",10.6394297265667,"Gallagher_field_workPHD"
"1350","Guioa semiglauca",9.61353585848875,"Gallagher_field_workPHD"
"1351","Guioa semiglauca",9.20979922637687,"Gallagher_field_workPHD"
"1352","Guioa semiglauca",8.71915598570058,"Gallagher_field_workPHD"
"1395","Guioa semiglauca",14.417,"AUSTRAITS_dataset_32"
"2244","Guioa semiglauca",13.21338531,"J_Lawson_FieldWork"
"1353","Helicia glabriflora",8.4005376344086,"Gallagher_field_workPHD"
"554","Heritiera trifoliolata",11.018,"AUSTRAITS_dataset_52"
"1359","Heritiera trifoliolata",12.30012300123,"AUSTRAITS_dataset_32"
"1360","Heritiera trifoliolata",8.13008130081301,"AUSTRAITS_dataset_32"
"169","Hippocratea barbata",38.669,"AUSTRAITS_dataset_8"
"1161","Hippocratea barbata",14.5369966564908,"Gallagher_field_workPHD"
"1379","Hippocratea barbata",3.8669,"Gallagher_field_workPHD"
"1162","Jagera pseudorhus",23.906287353574,"Gallagher_field_workPHD"
"1163","Jagera pseudorhus",20.6910821435961,"Gallagher_field_workPHD"
"257","Lantana camara",20.82,"AUSTRAITS_dataset_10"
"749","Lantana camara",19.02,"AUSTRAITS_dataset_8"
"922","Lantana camara",22.617,"AUSTRAITS_dataset_8"
"1164","Legnephora moorei",27.1517784414879,"Gallagher_field_workPHD"
"762","Ligustrum lucidum",12.006,"AUSTRAITS_dataset_8"
"1044","Ligustrum lucidum",12.01,"AUSTRAITS_dataset_10"
"1413","Ligustrum lucidum",11.927,"AUSTRAITS_dataset_52"
"2245","Ligustrum lucidum",13.67867229,"Leishman, M.R., Thomson, V.P., and Cooke, J. (2010) Native and exotic invasive plants have fundamentally similar carbon capture strategies. Journal of Ecology 98, 28NA42."
"340","Ligustrum sinense",8.96,"AUSTRAITS_dataset_10"
"2246","Ligustrum sinense",10.46479477,"J_Lawson_FieldWork"
"30","Lomandra longifolia",1.656,"AUSTRAITS_dataset_8"
"185","Lomandra longifolia",3.377,"AUSTRAITS_dataset_8"
"510","Lomandra longifolia",2.477,"AUSTRAITS_dataset_8"
"630","Lomandra longifolia",6.431,"AUSTRAITS_dataset_8"
"767","Lomandra longifolia",1.824,"AUSTRAITS_dataset_8"
