"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"146","Cyclophyllum.coprosmoides",NA,21.788,10,NA,NA,NA
"147","Daphnandra.apatela",NA,19.7315,35,NA,NA,0.559
"148","Daphnandra.tenuipes",4,13.069,20,NA,NA,0.5633
"149","Derris.involuta",6,8.313,20,17.508,NA,NA
"150","Diospyros.ellipticifolia",4,72.45,6,38.4701665346167,NA,NA
"151","Diospyros.fasciculosa",3,26.9065,30,NA,NA,0.69
"152","Diospyros.geminata",NA,16.538,10,NA,NA,NA
"153","Diploglottis.australis",3,90.5896666666667,45,NA,NA,0.621233333333333
"154","Dissiliaria.baloghioides",NA,26.775,35,NA,NA,0.847666666666667
"155","Elaeagnus.triflora",NA,24.515,NA,150,NA,NA
"156","Elattostachys.xylocarpa",5,10.3355,25,NA,NA,0.6626
"157","Endiandra.globosa",NA,37.474,30,20585.2752053774,NA,0.754
"158","Endiandra.pubens",3,23.915,25,NA,NA,0.64965
"159","Endiandra.virens",NA,16.625,10,NA,NA,NA
"160","Erythrina.species..croftby.",NA,31.85,30,62.832,NA,0.215
"161","Eugenia.uniflora",7,9.14375,8,258.292,NA,0.7568
"162","Eupomatia.bennettii",3,47.819,2,NA,NA,NA
"163","Ficus.racemosa",NA,62.717,35,0.13,NA,0.37
"164","Ficus.virens",NA,46.288,40,0.25,NA,0.342
"165","Ficus.watkinsiana",NA,60.86,40,1.978,NA,0.375
"166","Hibiscus.heterophyllus",NA,96.25,8,12.552,NA,NA
"167","Hicksbeachia.pinnatifolia",3,41.33,NA,NA,NA,NA
"168","Hodgkinsonia.ovatiflora",3,10.25,35,NA,NA,0.8256
"169","Ixora.beckleri",4,29.2125,15,NA,NA,0.8256
"170","Lepiderema.pulchella",2,6.431,15,NA,NA,NA
"171","Leucaena.leucocephala",3,0.21175,8,48,NA,0.76
"172","Lophostemon.confertus",3,33.682,40,6.50012467935515,NA,0.7328
"173","Mallotus.discolor",NA,15.5475,30,NA,NA,0.60675
"174","Medicosma.cunninghamii",12,25.5415,10,NA,NA,NA
